"case_num","case_id","system","library","loss","policy","n","mse_mean","mse_sd","mse_se","distance_mean","distance_sd","distance_se","min_eig_mean","min_eig_sd","min_eig_se"
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",90,0.0132411067132145,0.00621206248184075,0.00358653594611353,0.22622762461987,0.0517516479695455,0.0298788278862238,0.0066926458393027,0.00985995168714247,0.00569264576076841
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",91,0.0141102960062534,0.00784989821604995,0.0045321408481476,0.231892014825457,0.0632527962054255,0.0365190189161989,0.00695120017589197,0.0103077795001543,0.00595119926916139
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",92,0.0141075502871821,0.00791449432848141,0.00456943543104851,0.231702406848033,0.0641583487500684,0.0370418399216139,0.00658047574776279,0.00966566731667773,0.00558047562718125
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",93,0.0139384911015711,0.00796082115218479,0.00459618223518435,0.230259566700088,0.0640448633698171,0.0369763191067767,0.00623361143102453,0.00906488030306231,0.00523361108314476
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",94,0.0131910326893835,0.00662774648861266,0.00382653121932111,0.22527555062292,0.05497804628769,0.0317415898237175,0.00781597049678658,0.0118056063207504,0.00681596998723197
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",95,0.0125569926029815,0.00507963750950871,0.00293273008350057,0.221283968439746,0.0434978572486657,0.0251134995916891,0.0075948058742233,0.0114225318794389,0.00659480185542115
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",96,0.0129737238310556,0.00694893554271401,0.00401196980616729,0.222824784611701,0.0580173769698092,0.0334963482111954,0.00782484752684844,0.0118209815480561,0.00682484687885579
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",97,0.0136345763584282,0.00869718055668453,0.0050213195355926,0.22627694085393,0.070750103938085,0.0408475915538474,0.00789594755219463,0.0119441171179172,0.00689593923326194
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",98,0.0132906556000019,0.00746608976668168,0.00431054893658758,0.225020804679839,0.0615823821548647,0.0355546049144495,0.00911893441616673,0.0140624061626662,0.00811893398346918
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",99,0.012255812900941,0.0061921932601285,0.00357506444560937,0.217077814394047,0.0533920513981428,0.0308259152473041,0.0090548291921073,0.013951373058838,0.00805482899108504
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",100,0.0121740570848968,0.00629304667385639,0.00363329219117387,0.216129997618763,0.0545534481343851,0.0314964479656095,0.00872381446688674,0.0133780369506087,0.00772381323466271
1,"1q_L1_frobenius","1q","L1","frobenius","exact",1,0.247013,9.61481343191782e-17,5.55111512312578e-17,0.994008048257156,1.92296268638356e-16,1.11022302462516e-16,0.000999999999999957,1.53329341668337e-19,8.85247366868827e-20
1,"1q_L1_frobenius","1q","L1","frobenius","exact",2,0.224341204574289,0.0785373994861749,0.0453435887347962,0.938290726012694,0.159571293356894,0.0921285291745397,0.00100000212086702,7.1237244469777e-16,4.11288422709529e-16
1,"1q_L1_frobenius","1q","L1","frobenius","exact",3,0.0971505188273405,0.064125517867152,0.0370228850025244,0.602784978192956,0.194624042865776,0.112366243539329,0.001000004364054,1.61763763477628e-16,9.33943523889352e-17
1,"1q_L1_frobenius","1q","L1","frobenius","exact",4,0.0592232691091097,0.0509747591086689,0.0294302908932663,0.459230773534609,0.197484833880643,0.114017922001858,0.00100000000000004,2.33347914751321e-17,1.34723481396513e-17
1,"1q_L1_frobenius","1q","L1","frobenius","exact",5,0.0582510842439607,0.0693924971269364,0.0400637768959771,0.406987527003334,0.317880849941184,0.18352859428377,0.00100000272645049,2.36117538042854e-09,1.36322524149433e-09
1,"1q_L1_frobenius","1q","L1","frobenius","exact",6,0.0407979013678751,0.0392686999099865,0.0226717944637573,0.375176778593357,0.183442049197334,0.105910316484778,0.000999999999999972,2.95456530611128e-17,1.70581907482168e-17
