"alpha","alpha_name","case_num","case_id","system","library","loss","policy","n_step","n_eff","mean_scaled_proxy","se_scaled_proxy","mean_scaled_mse","mean_scaled_fro_sq","mean_scaled_bures_sq"
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",1,100,Inf,NA,10.1474994464463,40.5899977857853,30.559908961265
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",2,200,Inf,NA,17.4028110602464,69.6112442409857,50.9804522896735
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",3,300,2.91637283544264,0,0.743660060870253,2.97464024348101,3.43309306658265
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",4,400,3.38849711392352,0,0.986063362696268,3.94425345078507,4.56526392142482
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",5,500,3.3329660443033,0,0.857402534181177,3.42961013672471,5.3569833743416
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",6,600,2.91637283544264,0,0.651336775996886,2.60534710398754,4.04481616020593
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",7,700,3.11076830801641,0,0.628564645122083,2.51425858048833,4.52458605724141
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",8,800,3.07374759493627,0,0.658040301287386,2.63216120514955,4.39897660021282
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",9,900,2.91637283544264,0,0.426404193474949,1.7056167738998,3.04037757078147
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",10,1000,3.0320809282696,0,0.4797053299366,1.9188213197464,3.39365148183712
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",11,1100,3.00431539345949,0,0.435650083068511,1.74260033227404,3.09501728580708
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",12,1200,2.91637283544264,0,0.231576921962121,0.926307687848482,1.70377091772735
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",13,1300,2.99690390506286,0,0.314284875695585,1.25713950278234,1.94834237397125
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform",14,1400,2.97469147721477,0,0.373031182145857,1.49212472858343,2.03875401253233
